25,0.1,0.0415149
25,0.1,0.158027
25,0.1,0.121366
25,0.1,0.181097
25,0.1,0.210826
50,0.1,0.038697
50,0.1,0.113286
50,0.1,0.0854738
50,0.1,0.100509
50,0.1,0.136809
75,0.1,0.0546021
75,0.1,0.10766
75,0.1,0.0906739
75,0.1,0.0878853
75,0.1,0.121276
100,0.1,0.0356261
100,0.1,0.0865455
100,0.1,0.0772648
100,0.1,0.105032
100,0.1,0.116325
125,0.1,0.0438769
125,0.1,0.0852801
125,0.1,0.0717659
125,0.1,0.101149
125,0.1,0.106369
25,0.01,0.00774162
25,0.01,0.0715589
25,0.01,0.054961
25,0.01,0.0721199
25,0.01,0.0701586
50,0.01,0.00846951
50,0.01,0.0319772
50,0.01,0.0261875
50,0.01,0.0410035
50,0.01,0.0543692
75,0.01,0.00478389
75,0.01,0.0266126
75,0.01,0.0156168
75,0.01,0.0411236
75,0.01,0.0495502
100,0.01,0.00427581
100,0.01,0.0266965
100,0.01,0.0235939
100,0.01,0.0467484
100,0.01,0.0511186
125,0.01,0.00734832
125,0.01,0.0253228
125,0.01,0.0220872
125,0.01,0.0441435
125,0.01,0.0483304
25,0.001,0.000693484
25,0.001,0.0498967
25,0.001,0.0278754
25,0.001,0.0616749
25,0.001,0.0540372
50,0.001,0.000890513
50,0.001,0.0188627
50,0.001,0.0104595
50,0.001,0.0312944
50,0.001,0.0437979
75,0.001,0.000750995
75,0.001,0.0177799
75,0.001,0.00836126
75,0.001,0.0300099
75,0.001,0.0402345
100,0.001,0.000531639
100,0.001,0.0175206
100,0.001,0.0140029
100,0.001,0.0368096
100,0.001,0.039835
125,0.001,0.000732252
125,0.001,0.0170244
125,0.001,0.0134405
125,0.001,0.0280271
125,0.001,0.0397164
25,0.0001,9.6394e-05
25,0.0001,0.055162
25,0.0001,0.0254239
25,0.0001,0.0600396
25,0.0001,0.0517884
50,0.0001,9.6188e-05
50,0.0001,0.0171825
50,0.0001,0.00898059
50,0.0001,0.0298549
50,0.0001,0.0418935
75,0.0001,3.46171e-05
75,0.0001,0.0160883
75,0.0001,0.00668572
75,0.0001,0.028262
75,0.0001,0.0388648
100,0.0001,4.07355e-05
100,0.0001,0.0156447
100,0.0001,0.0126149
100,0.0001,0.0352139
100,0.0001,0.0382584
125,0.0001,5.07257e-05
125,0.0001,0.0151782
125,0.0001,0.0122305
125,0.0001,0.0265684
125,0.0001,0.038194
25,1e-05,-2.3496e-06
25,1e-05,0.054969
25,1e-05,0.0253207
25,1e-05,0.0599299
25,1e-05,0.0515801
50,1e-05,1.60032e-05
50,1e-05,0.0170742
50,1e-05,0.0088759
50,1e-05,0.0297323
50,1e-05,0.0417459
75,1e-05,3.6346e-06
75,1e-05,0.0159776
75,1e-05,0.00658913
75,1e-05,0.0281519
75,1e-05,0.0387458
100,1e-05,2.07538e-06
100,1e-05,0.0155078
100,1e-05,0.012525
100,1e-05,0.0350815
100,1e-05,0.0381585
125,1e-05,2.64606e-06
125,1e-05,0.0150547
125,1e-05,0.012132
125,1e-05,0.0264923
125,1e-05,0.0381001
